"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA1996_7: 0-4","v_CA1996_8: 5-9","v_CA1996_9: 10-14","v_CA1996_31: 0-4","v_CA1996_32: 5-9","v_CA1996_33: 10-14","v_CA1996_783: Total - Total population by visible minority population","v_CA1996_784: Total visible minority population","v_CA1996_1347: Total population 15 years and over by highest level of schooling","v_CA1996_1356: University","v_CA1996_1385: Total by mobility status 1 year ago","v_CA1996_1386: Non-movers","v_CA1996_1387: Movers","v_CA1996_1388: Non-migrants","v_CA1996_1389: Migrants","v_CA1996_1390: Internal migrants","v_CA1996_1391: Intraprovincial migrants","v_CA1996_1392: Interprovincial migrants","v_CA1996_1393: External migrants","v_CA1996_1403: All persons with employment income by work activity","v_CA1996_1454: Median income $","v_CA1996_1614: Household income of all private households","v_CA1996_1615: Under $10,000","v_CA1996_1616: $  10,000 - $19,999","v_CA1996_1617: $  20,000 - $29,999","v_CA1996_1618: $  30,000 - $39,999","v_CA1996_1619: $  40,000 - $49,999","v_CA1996_1620: $  50,000 - $59,999","v_CA1996_1621: $  60,000 - $69,999","v_CA1996_1622: $  70,000 - $79,999","v_CA1996_1623: $  80,000 - $89,999","v_CA1996_1624: $  90,000 - $99,999","v_CA1996_1625: $100,000 and over","v_CA1996_1626: Average household income $","v_CA1996_1627: Median household income $","v_CA1996_1628: Standard error of average household income $","v_CA1996_1701: Average gross rent $","v_CA1996_1702: Gross rent spending  30% or more of household income on shelter costs","v_CA1996_1704: Average owner's major payments $","v_CA1996_1705: Owner's major payments spending 30% or more of household income on shelter costs","v_CA1996_1678: Total number of occupied private dwellings","v_CA1996_1681: Average value of dwelling $","v_CA1996_1682: Owned","v_CA1996_1683: Rented","v_CA1996_1688: Period of construction, before 1946","v_CA1996_1689: Period of construction, 1946-1960"
"235","9330160.02","CT","9330160.02",9.0595828621908,6755,2840,2805,"59933","","","",175,190,215,160,205,215,6755,410,5590,2105,6705,5490,1220,710,505,410,345,65,90,3840,28635,2800,40,260,290,280,315,310,325,200,185,125,465,65592,55957,1880,821,265,967,345,2805,342803,2070,735,110,225
"236","9330163.04","CT","Delta",2.76834571218133,5440,1702,1700,"59933","","5915011","5915",200,210,225,200,200,200,5440,710,4200,955,5355,4740,620,305,315,290,230,60,20,3285,24817,1700,30,100,150,195,110,130,235,200,155,130,265,67687,66031,1909,862,120,937,225,1700,252866,1390,310,65,215
"237","9330170.01","CT","9330170.01",2.57930038212144,8052,4353,4330,"59933","","","",105,95,115,115,100,110,7860,295,7220,2105,7795,6310,1480,635,845,730,570,160,115,3885,22566,4330,130,905,715,610,435,395,240,165,140,85,500,52160,36326,1772,768,710,719,425,4330,286086,2840,1485,260,440
"238","9330180.00","CT","Surrey",50.9097329219383,7147,2435,2430,"59933","","5915004","5915",170,250,310,160,220,245,7090,345,5735,1465,7040,6265,780,370,405,380,305,75,25,4240,22032,2430,125,220,270,230,195,185,170,175,180,155,525,71782,59154,2529,873,245,992,355,2430,451574,1920,510,240,305
"239","9330181.01","CT","Surrey",3.91529038857186,6959,3000,2995,"59933","","5915004","5915",145,180,210,140,165,205,6935,445,5900,1470,6860,5670,1195,595,595,555,395,155,45,3110,21900,2995,50,455,425,425,305,250,270,220,180,75,345,53774,44593,1397,796,360,701,275,2995,276451,2325,665,15,40
"240","9330181.03","CT","9330181.03",6.34237009900786,5119,1809,1805,"59933","","","",135,205,245,140,205,215,5110,220,3955,1755,5025,4145,880,395,480,340,270,65,140,2840,25237,1805,80,215,110,140,130,185,135,160,110,105,430,75867,63647,3679,722,160,1056,275,1805,444533,1390,415,205,255
"241","9330183.01","CT","Surrey",2.66805542928869,5105,1593,1590,"59933","","5915004","5915",260,275,260,210,230,235,5100,440,3635,515,5015,4270,740,435,310,305,270,35,0,2720,23953,1590,90,125,95,190,125,235,260,130,155,70,110,56845,56566,1642,780,120,973,270,1590,226342,1345,245,90,160
"242","9330181.06","CT","Surrey",3.70046392788001,4850,1969,1965,"59933","","5915004","5915",110,125,155,110,110,125,4805,215,4070,990,4755,4085,665,375,295,285,230,55,10,2205,21722,1965,80,265,260,165,225,170,135,125,125,85,320,58295,49381,1812,953,85,719,190,1965,223975,1765,195,35,110
"243","9330181.07","CT","9330181.07",1.86558435741397,3509,1201,1200,"59933","","","",105,160,190,85,125,150,3495,150,2680,1075,3480,3035,440,240,200,150,110,40,50,1855,29797,1200,25,80,65,100,95,85,95,120,70,120,345,84925,75222,3701,1144,40,1117,195,1200,381580,1105,95,50,105
"244","9330182.00","CT","Surrey",92.055525391601,9419,2837,2835,"59933","","5915004","5915",330,365,445,260,420,380,9420,1870,7220,1575,9320,7580,1740,955,785,700,545,155,80,5355,21683,2835,105,210,295,295,240,270,240,255,220,175,535,73799,60610,4565,804,290,1139,360,2835,378714,2190,640,305,325
"245","9330188.00","CT","Surrey",21.5550346425547,13034,3626,3635,"59933","","5915004","5915",515,595,605,460,595,540,13050,4005,9760,2735,12860,10525,2335,1375,960,650,585,60,315,6840,23895,3635,135,210,235,305,410,350,410,305,280,250,735,70421,62988,1545,955,195,1190,895,3630,322048,3165,465,50,120
