"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA06_101: Total number of occupied private dwellings by housing tenure - 20% sample data","v_CA06_102: Owned","v_CA06_103: Rented","v_CA06_109: Total number of occupied private dwellings by period of construction - 20% sample data","v_CA06_110: Period of construction, before 1946","v_CA06_111: Period of construction, 1946 to 1960","v_CA06_451: Total - Mobility status 1 year ago - 20% sample data","v_CA06_453: Movers","v_CA06_454: Non-migrants","v_CA06_455: Migrants","v_CA06_456: Internal migrants","v_CA06_457: Intraprovincial migrants","v_CA06_458: Interprovincial migrants","v_CA06_459: External migrants","v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1240: University certificate, diploma or degree","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1254: University certificate, diploma or degree","v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data","v_CA06_1268: University certificate, diploma or degree","v_CA06_1302: Total population by visible minority groups - 20% sample data","v_CA06_1303: Total visible minority population","v_CA06_1583: Median income $","v_CA06_1988: Household income in 2005 of private households - 20% sample data","v_CA06_1989: Under $10,000","v_CA06_1990: $10,000 to $19,999","v_CA06_1991: $20,000 to $29,999","v_CA06_1992: $30,000 to $39,999","v_CA06_1993: $40,000 to $49,999","v_CA06_1994: $50,000 to $59,999","v_CA06_1995: $60,000 to $69,999","v_CA06_1996: $70,000 to $79,999","v_CA06_1997: $80,000 to $89,999","v_CA06_1998: $90,000 to $99,999","v_CA06_1999: $100,000 and over","v_CA06_2000: Median household income $","v_CA06_2048: Total number of non-farm, non-reserve private dwellings occupied by usual residents - 20% sample data","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings","v_CA06_2050: Average gross rent $","v_CA06_2051: Tenant-occupied households spending 30% or more of household income on gross rent","v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2054: Average value of dwelling $","v_CA06_2055: Average owner major payments $","v_CA06_2056: Owner households spending 30% or more of household income on owner's major payments"
"130","9330120.00","CT","North Vancouver",2.35026,3854,1387,1343,"59933","59","5915046","5915",1340,1170,170,1340,65,490,3820,500,275,220,110,70,40,110,580,90,1920,1065,620,235,3835,1030,32678,1340,55,40,85,90,100,100,65,70,75,70,590,87753,1340,170,1742,45,1165,811065,1622,320
"131","9330121.00","CT","North Vancouver",1.83939,4488,1542,1474,"59933","59","5915046","5915",1475,1295,180,1470,25,1050,4440,375,225,150,145,125,20,10,660,80,2285,1245,625,225,4490,835,36506,1470,20,30,65,95,105,130,130,70,60,85,685,92790,1470,180,1633,95,1290,855710,1575,230
"132","9330122.00","CT","North Vancouver",20.56847,4182,1425,1369,"59933","59","5915046","5915",1365,1255,115,1370,15,195,4160,545,310,230,155,85,70,75,670,75,2215,1380,545,135,4175,1065,34371,1370,55,25,105,60,65,45,105,75,55,65,715,103381,1365,115,1549,40,1255,811053,1667,305
"133","9330130.01","CT","West Vancouver",0.87158,4480,2900,2676,"59933","59","5915055","5915",2675,1365,1315,2675,190,370,4480,615,285,325,170,135,30,155,245,20,1985,1070,1930,650,4480,950,30929,2675,110,365,265,320,370,275,205,90,70,120,470,46991,2675,1310,1319,815,1360,847691,1056,285
"134","9330130.03","CT","Capilano 5",1.48915,4497,2572,2363,"59933","59","5915808","5915",2365,1210,1150,2360,240,330,4300,635,340,295,240,150,90,55,455,65,1980,1120,1435,460,4300,1085,28593,2365,145,345,295,300,250,215,145,135,90,55,385,42038,2360,1150,1048,550,1215,684605,1101,320
"135","9330130.04","CT","Capilano 5",1.79252,2492,1325,1242,"59933","59","5915808","5915",1245,150,925,1245,35,120,2475,500,135,365,195,160,35,175,410,55,1365,455,405,100,2490,790,15417,1240,225,210,210,170,100,85,65,30,45,30,75,28637,0,0,0,0,0,0,0,0
"136","9330131.00","CT","West Vancouver",3.36953,7009,2705,2519,"59933","59","5915055","5915",2520,2070,445,2520,575,790,6720,765,435,320,175,75,95,155,1020,130,3320,2240,1225,445,6780,1330,32131,2520,95,230,180,115,135,185,120,105,90,140,1130,90355,2515,450,1504,265,2070,1036597,1503,485
"137","9330132.00","CT","West Vancouver",3.26754,3659,1395,1311,"59933","59","5915055","5915",1310,1215,95,1310,270,385,3635,430,260,170,65,30,35,105,500,60,1835,1190,670,300,3660,335,43107,1310,40,60,50,50,65,75,25,75,90,45,730,114046,1310,95,1808,50,1215,1560564,1806,265
"138","9330133.01","CT","West Vancouver",3.78046,3654,1494,1414,"59933","59","5915055","5915",1415,1215,195,1410,185,250,3595,255,110,140,115,100,15,25,430,30,1945,1145,645,350,3650,260,40132,1415,65,55,85,35,55,90,95,100,55,85,690,96903,1415,195,1191,80,1215,1099329,1682,250
"139","9330133.02","CT","West Vancouver",36.91672,6195,2278,2183,"59933","59","5915055","5915",2180,2030,155,2185,100,235,6165,970,405,560,275,250,25,290,880,90,3220,1940,1060,515,6190,940,42979,2185,70,90,100,130,75,105,100,50,60,85,1310,125465,2185,150,1986,70,2030,1266112,1786,430
"140","9330134.00","CT","West Vancouver",15.28389,7406,2779,2579,"59933","59","5915055","5915",2580,2225,350,2580,175,560,7285,910,570,335,200,90,115,135,1210,175,3755,2205,1330,670,7330,2685,30276,2575,145,155,165,145,165,125,170,125,95,130,1155,89089,2580,350,1907,195,2225,1352025,1729,690
"141","9330135.00","CT","West Vancouver",23.74145,5231,1934,1794,"59933","59","5915055","5915",1795,1590,200,1795,70,880,5200,455,140,320,290,225,65,25,755,150,2755,1750,910,365,5230,1925,31634,1795,85,60,120,70,110,65,90,95,100,100,895,99726,1790,200,2276,115,1595,1174817,1747,355
"142","9330140.02","CT","Richmond",27.08203,6472,2738,2650,"59933","59","5915015","5915",2650,2370,280,2650,65,30,6415,880,465,420,330,295,35,90,760,120,3930,1700,775,145,6475,2225,33942,2650,75,145,210,235,180,210,245,170,180,165,835,71479,2635,275,916,85,2355,480242,1189,590
"143","9330140.03","CT","Richmond",47.52207,4159,1499,1354,"59933","59","5915015","5915",1350,650,700,1350,80,160,4095,620,270,350,260,225,35,90,615,65,2320,795,455,30,4155,2360,21166,1350,60,80,155,130,175,170,85,130,50,105,215,56131,1305,695,986,165,620,586555,1064,135
"144","9330140.04","CT","Richmond",3.08597,4610,1510,1412,"59933","59","5915015","5915",1415,1175,240,1410,30,30,4550,835,390,445,350,265,85,95,585,50,2680,935,340,70,4610,3160,25629,1410,75,55,80,100,110,95,140,170,120,100,370,72399,1410,235,1194,100,1175,456792,1373,275
"145","9330141.00","CT","Richmond",3.2964,8763,3586,3463,"59933","59","5915015","5915",3460,2295,1170,3460,45,50,8560,1325,885,450,310,250,60,140,1105,100,4965,2020,1115,205,8640,3215,28911,3460,130,335,260,340,315,235,245,180,250,225,950,65332,3465,1165,852,380,2295,513072,1293,485
"146","9330142.01","CT","Richmond",1.47536,6328,2107,2072,"59933","59","5915015","5915",2070,1835,235,2070,25,35,6240,660,425,240,165,165,0,75,1000,110,3620,1535,635,85,6320,3060,26734,2070,55,110,105,175,145,185,170,195,135,110,675,75869,2070,235,1054,85,1840,476922,1122,370
"147","9330142.02","CT","Richmond",1.46079,5089,1835,1799,"59933","59","5915015","5915",1800,1535,265,1800,20,340,5025,480,285,195,125,95,25,70,680,55,2975,1150,575,80,5085,2095,32285,1800,35,60,110,135,155,125,165,195,75,160,580,77294,1800,265,1078,110,1535,487319,1136,280
"148","9330142.03","CT","Richmond",1.54922,6298,2286,2209,"59933","59","5915015","5915",2210,1710,500,2205,20,265,6120,1020,550,465,245,195,50,220,945,115,3305,1290,940,195,6175,2795,21441,2205,100,225,260,240,195,210,135,95,140,120,480,52405,2210,500,990,280,1705,453694,1019,430
"149","9330143.01","CT","Richmond",1.31897,5478,1668,1635,"59933","59","5915015","5915",1635,1445,190,1635,10,50,5425,605,375,235,115,100,15,120,965,220,3215,1445,520,110,5470,3625,19967,1635,95,105,150,150,110,140,95,125,120,80,470,68309,1635,190,1189,95,1445,539417,1121,365
"150","9330143.02","CT","Richmond",1.29201,4508,1590,1536,"59933","59","5915015","5915",1535,995,540,1535,40,65,4335,600,270,325,170,125,40,155,655,115,2375,985,660,100,4380,2775,17404,1535,115,280,160,135,120,90,55,80,110,95,295,44690,1535,535,684,295,1000,586249,1115,275
"151","9330143.03","CT","Richmond",1.34393,4694,1615,1560,"59933","59","5915015","5915",1560,1300,255,1560,0,165,4650,490,305,185,80,65,10,105,830,170,2580,1000,600,140,4690,3135,17233,1560,135,125,205,145,170,105,110,125,65,90,290,50201,1560,260,1008,140,1300,562516,1130,395
