"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"100","5350090.00","CT","Toronto",0.39376,3680,2305,2156,"35535","35","3520005","3520","0.301",1090,45.4,1070,12.7,1268,599280,1199,1709,731967,1292
"101","5350091.01","CT","Toronto",0.51145,6065,3645,3227,"35535","35","3520005","3520","0.321",1070,44.9,2155,1.2,1582,550998,1205,1781,867066,1312
"102","5350091.02","CT","Toronto",0.3257,3359,2141,1996,"35535","35","3520005","3520","0.397",400,46.8,1600,30.3,1595,848944,843,2110,986397,841
"103","5350092.00","CT","Toronto",0.62497,7151,4224,3894,"35535","35","3520005","3520","0.214",885,47.5,3010,3.5,1300,849546,1180,1826,894838,1243
"104","5350093.00","CT","Toronto",0.6161,5634,2531,2275,"35535","35","3520005","3520","0.321",1265,54.9,1010,2,1374,650144,1170,1624,688363,1230
"105","5350094.00","CT","Toronto",0.63892,5072,2143,1975,"35535","35","3520005","3520","0.35200000000000004",1190,50.6,780,7.7,872,500870,986,1321,551391,1080
"106","5350095.00","CT","Toronto",0.31549,3130,1373,1312,"35535","35","3520005","3520","0.36",745,49.7,590,0,957,500604,851,1230,505060,882
"107","5350096.00","CT","Toronto",0.54971,4989,2118,1968,"35535","35","3520005","3520","0.348",1185,46.8,780,3.8,902,499854,903,1249,491206,1045
"108","5350097.01","CT","Toronto",0.38247,4290,1821,1636,"35535","35","3520005","3520","0.33899999999999997",775,62.6,860,9.2,1300,449440,902,1379,477960,888
"109","5350097.02","CT","Toronto",0.49668,5412,2663,2268,"35535","35","3520005","3520","0.29",985,54.5,1285,5.5,1165,428644,903,1323,445280,908
"110","5350098.00","CT","Toronto",0.71538,6785,2989,2793,"35535","35","3520005","3520","0.275",1350,60.5,1445,27,1346,406551,913,1293,434124,930
"111","5350099.00","CT","Toronto",0.5813,6369,3305,3119,"35535","35","3520005","3520","0.23199999999999998",1140,59.5,1980,8.8,1609,599101,901,1669,609203,968
"112","5350100.00","CT","Toronto",0.28925,2518,1545,1187,"35535","35","3520005","3520","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
