"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"64","9330039.01","CT","Vancouver",0.71415,5630,3446,3312,"59933","59","5915022","5915","0.221",985,69.5,2325,5.4,1416,600679,930,1595,711234,1034
"65","9330039.02","CT","Vancouver",0.6033,5630,3111,2966,"59933","59","5915022","5915","0.14300000000000002",1500,59.2,1470,16.4,1315,500292,1051,1349,550398,1141
"66","9330040.01","CT","Vancouver",0.27049,3761,2697,2570,"59933","59","5915022","5915","0.292",555,70.3,2010,0.7,1297,400813,1000,1356,474519,1072
"67","9330040.02","CT","Vancouver",0.3166,4360,3022,2884,"59933","59","5915022","5915","0.29",725,62.1,2160,0.9,1257,449094,1026,1328,525235,1073
"68","9330041.01","CT","Vancouver",0.38099,4346,2865,2746,"59933","59","5915022","5915","0.251",865,57,1880,2.1,1107,500096,1129,1293,641023,1182
"69","9330041.02","CT","Vancouver",1.00113,7009,3787,3521,"59933","59","5915022","5915","0.172",1940,56.7,1580,11.4,1386,649334,1316,1568,836627,1382
"70","9330042.00","CT","Vancouver",1.08738,6118,2782,2544,"59933","59","5915022","5915","0.268",1485,49.2,1060,8,982,1295037,1126,1757,1289089,1243
"71","9330043.01","CT","Vancouver",0.71126,3940,1808,1618,"59933","59","5915022","5915","0.254",930,35.5,690,0,933,1597549,1293,1694,1548114,1299
"72","9330043.02","CT","Vancouver",0.99667,4336,1709,1571,"59933","59","5915022","5915","0.278",1255,34,315,0,1016,1603067,1255,1776,1796954,1431
"73","9330044.00","CT","Vancouver",2.84822,4527,2261,2024,"59933","59","5915022","5915","0.275",1215,33.3,810,31.1,1269,1798358,1085,1715,2007661,1121
"74","9330045.01","CT","Vancouver",0.67288,4727,2629,2407,"59933","59","5915022","5915","0.301",1230,56.5,1175,0,1426,1052892,1269,1805,1234571,1357
"75","9330045.02","CT","Vancouver",0.73341,5517,2887,2674,"59933","59","5915022","5915","0.257",1240,56.5,1435,2.4,1328,1000394,1207,1677,1053610,1294
"76","9330046.00","CT","Vancouver",0.49188,4967,3140,2992,"59933","59","5915022","5915","0.172",845,60.9,2145,9.3,1231,499994,988,1508,656736,1072
"77","9330047.01","CT","Vancouver",0.33248,3502,2442,2290,"59933","59","5915022","5915","0.27699999999999997",925,50.3,1365,5.1,953,601886,1095,1420,794555,1140
"78","9330047.02","CT","Vancouver",0.39158,3982,2809,2676,"59933","59","5915022","5915","0.281",655,66.7,2020,2.7,1432,449443,1055,1526,554386,1103
"79","9330048.00","CT","Vancouver",1.22223,7366,4713,4448,"59933","59","5915022","5915","0.23",1990,60.1,2455,5.9,1330,599057,1105,1487,804644,1202
"80","9330049.01","CT","Vancouver",1.55144,8179,5353,4673,"59933","59","5915022","5915","0.196",2450,67.3,2225,14.4,1587,551837,1387,1627,624346,1370
"81","9330049.02","CT","Vancouver",0.85075,5788,3297,3116,"59933","59","5915022","5915","0.228",1545,52.6,1570,37.7,1208,599238,1054,1409,644191,1174
"82","9330050.02","CT","Vancouver",0.68133,5752,3532,3179,"59933","59","5915022","5915","0.282",855,69,2325,28.6,1261,399938,846,1316,512644,838
"83","9330050.03","CT","Vancouver",1.29301,4971,3318,3173,"59933","59","5915022","5915","0.237",1285,66.9,1885,14.3,1244,349558,850,1203,377750,936
"84","9330050.04","CT","Vancouver",0.30664,3212,2038,1892,"59933","59","5915022","5915","0.317",775,62.8,1115,25.1,1031,270102,861,987,311532,870
"85","9330051.01","CT","Vancouver",0.54428,3320,1353,1291,"59933","59","5915022","5915","0.309",790,45.6,500,4,640,799794,950,1283,806890,1053
"86","9330051.02","CT","Vancouver",0.75497,4671,1654,1622,"59933","59","5915022","5915","0.22899999999999998",970,45.1,650,23.8,751,752090,819,1248,746402,897
"87","9330052.01","CT","Vancouver",1.26046,5960,2248,2042,"59933","59","5915022","5915","0.222",1075,41.9,965,28.5,627,752199,828,1157,773273,908
"88","9330052.02","CT","Vancouver",1.32557,6258,2236,2099,"59933","59","5915022","5915","0.19",1295,48.1,800,17.5,802,750962,832,1294,746428,952
"89","9330053.01","CT","Vancouver",2.62482,6508,2568,2365,"59933","59","5915022","5915","0.29",1625,62.3,735,4.8,1228,749932,901,1503,770534,955
"90","9330053.02","CT","Vancouver",0.79811,3217,1371,1231,"59933","59","5915022","5915","0.253",905,42.5,320,0,665,751958,860,1149,738957,974
"91","9330054.01","CT","Vancouver",0.58596,3900,1708,1561,"59933","59","5915022","5915","0.303",870,55.7,695,0,1331,776857,951,1457,776367,929
"92","9330054.02","CT","Vancouver",0.79274,4326,1593,1496,"59933","59","5915022","5915","0.22699999999999998",1115,47.3,380,7.9,709,800972,826,1285,819846,978
"93","9330055.01","CT","Vancouver",0.80452,5131,2770,2448,"59933","59","5915022","5915","0.245",995,63.3,1455,17.9,1077,554649,840,1275,565687,924
"94","9330055.02","CT","Vancouver",0.65244,4302,2570,2418,"59933","59","5915022","5915","0.203",930,60.2,1485,12.8,896,376500,848,1058,521269,824
"95","9330056.01","CT","Vancouver",1.10946,3793,2321,2012,"59933","59","5915022","5915","0.299",345,75.4,1670,32,1335,376361,797,1401,532639,791
"96","9330056.02","CT","Vancouver",0.66725,4151,2452,2213,"59933","59","5915022","5915","0.282",760,62.5,1455,18.9,1020,599371,929,1316,634917,970
"97","9330057.01","CT","Vancouver",0.23107,3188,1511,1359,"59933","59","5915022","5915","0.369",80,70.6,1420,55.3,1525,423955,430,1467,477777,603
"98","9330057.02","CT","Vancouver",1.62618,5086,2425,2218,"59933","59","5915022","5915","0.282",630,54,1590,51.3,793,697470,532,1245,668412,695
"99","9330058.00","CT","Vancouver",1.14194,3792,1826,1682,"59933","59","5915022","5915","0.303",85,76.5,1460,77.3,1621,450400,374,1494,730959,521
"100","9330059.06","CT","Vancouver",0.62282,6496,3470,3158,"59933","59","5915022","5915","0.38299999999999995",780,89,2380,45.3,1712,454894,550,1924,660693,826
"101","9330059.07","CT","Vancouver",0.26016,4745,3148,2566,"59933","59","5915022","5915","0.348",1680,60.8,880,5.6,1611,680155,1662,1864,866558,1777
"102","9330059.08","CT","Vancouver",0.34509,6843,3851,3362,"59933","59","5915022","5915","0.28800000000000003",1990,61.6,1375,18.2,1600,697540,1621,1700,780807,1576
"103","9330059.09","CT","Vancouver",0.19984,4929,3784,3363,"59933","59","5915022","5915","0.335",1260,84.6,2100,13.8,1461,401071,1246,1580,494177,1216
"104","9330059.10","CT","Vancouver",0.19921,5182,3689,3129,"59933","59","5915022","5915","0.319",1260,82.6,1870,20.3,1551,420540,1418,1606,469771,1293
"105","9330059.11","CT","Vancouver",0.76995,6291,4628,3780,"59933","59","5915022","5915","0.38299999999999995",1545,80.8,2235,7.4,1641,425939,1480,1664,513939,1463
"106","9330059.12","CT","Vancouver",0.90884,12513,7616,6828,"59933","59","5915022","5915","0.33799999999999997",3375,74.3,3455,5.2,1612,500721,1501,1722,562112,1581
"107","9330060.01","CT","Vancouver",0.14833,3039,2173,2053,"59933","59","5915022","5915","0.345",330,54.5,1725,5.2,969,399572,1120,1084,496514,1126
"108","9330060.02","CT","Vancouver",0.23171,5612,3941,3746,"59933","59","5915022","5915","0.308",840,60.5,2910,14.5,1027,400333,1057,1146,479553,1055
"109","9330061.00","CT","Vancouver",0.21193,4821,3539,3346,"59933","59","5915022","5915","0.336",355,59.2,2990,4.7,1125,449821,1084,1339,578405,1095
"110","9330062.00","CT","Vancouver",0.16862,3209,2484,2245,"59933","59","5915022","5915","0.278",610,28.7,1640,3.1,634,449993,1147,963,514571,1253
"111","9330063.00","CT","Vancouver",0.18512,3352,2364,2186,"59933","59","5915022","5915","0.314",555,59.5,1635,4.3,919,450300,1019,1130,476307,1065
"112","9330064.00","CT","Vancouver",0.2389,4616,3191,3077,"59933","59","5915022","5915","0.319",440,60.7,2640,10.2,998,400018,1061,1110,436296,1061
"113","9330065.00","CT","Vancouver",0.24101,6767,4520,4166,"59933","59","5915022","5915","0.299",795,59.7,3370,9.2,1406,469832,1051,1374,501012,1108
"114","9330066.00","CT","Vancouver",0.52863,7817,5334,4119,"59933","59","5915022","5915","0.425",1930,65.5,2190,5.5,1604,573118,1544,1846,887271,1646
"115","9330067.01","CT","Vancouver",0.18628,3666,2684,2559,"59933","59","5915022","5915","0.35700000000000004",375,60,2185,24.5,1333,401080,1004,1490,477615,943
"116","9330067.02","CT","Vancouver",0.2353,4501,2888,2393,"59933","59","5915022","5915","0.317",780,49.7,1610,11.8,1310,800644,1409,1552,992943,1470
"117","9330068.00","CT","Vancouver",4.27153,4834,3723,3373,"59933","59","5915022","5915","0.258",680,48.5,2695,1.3,1064,500942,997,1412,711013,1033
"118","9330069.00","CT","Greater Vancouver A",14.50167,12777,5736,4939,"59933","59","5915020","5915","0.233",2465,55.2,2470,14.9,1319,753512,1231,1753,1106575,1314
